datetime,busvoltage
2001:01:21 21:00:00 ,32.00318862
2001:01:22 00:00:00 ,31.9439518
2001:01:22 03:00:00 ,32.10234417
2001:01:22 06:00:00 ,31.98811126
2001:01:22 09:00:00 ,31.94505529
2001:01:22 12:00:00 ,31.86363951
2001:01:22 15:00:00 ,32.04875996
2001:01:22 18:00:00 ,32.1351664
2001:01:22 21:00:00 ,31.87131613
2001:01:23 00:00:00 ,32.02938862
2001:01:23 03:00:00 ,31.98160529
2001:01:23 06:00:00 ,32.12029168
2001:01:23 09:00:00 ,32.01316452
2001:01:23 12:00:00 ,31.99030679
2001:01:23 15:00:00 ,32.05274681
2001:01:23 18:00:00 ,31.94724665
2001:01:23 21:00:00 ,32.17673862
2001:01:24 00:00:00 ,31.99465529
2001:01:24 03:00:00 ,32.05939943
2001:01:24 06:00:00 ,32.01367751
2001:01:24 09:00:00 ,32.11356701
2001:01:24 12:00:00 ,32.07854973
2001:01:24 15:00:00 ,32.04139418
2001:01:24 18:00:00 ,32.07852456
2001:01:24 21:00:00 ,32.02089418
2001:01:25 00:00:00 ,32.16407668
2001:01:25 03:00:00 ,32.03419973
2001:01:25 06:00:00 ,32.09625413
2001:01:25 09:00:00 ,32.05220529
2001:01:25 12:00:00 ,32.10435529
2001:01:25 15:00:00 ,32.16745426
2001:01:25 18:00:00 ,32.08415529
2001:01:25 21:00:00 ,32.13449709
2001:01:26 00:00:00 ,32.0615164
2001:01:26 03:00:00 ,32.18561639
2001:01:26 06:00:00 ,32.08101141
2001:01:26 09:00:00 ,32.14087195
2001:01:26 12:00:00 ,32.10874506
2001:01:26 15:00:00 ,32.10477776
2001:01:26 18:00:00 ,31.99615518
2001:01:26 21:00:00 ,32.14647066
2001:01:27 00:00:00 ,32.18840177
2001:01:27 03:00:00 ,31.75515487
2001:01:27 06:00:00 ,32.22194694
2001:01:27 09:00:00 ,32.14442615
2001:01:27 12:00:00 ,32.20684973
2001:01:27 15:00:00 ,32.16086084
2001:01:27 18:00:00 ,32.2648375
2001:01:27 21:00:00 ,32.16257751
2001:01:28 00:00:00 ,32.22207024
2001:01:28 03:00:00 ,32.18128355
2001:01:28 06:00:00 ,32.2575058
2001:01:28 09:00:00 ,32.14800528
2001:01:28 12:00:00 ,32.23750528
2001:01:28 15:00:00 ,32.17498802
2001:01:28 18:00:00 ,32.2530775
2001:01:28 21:00:00 ,32.14995324
2001:01:29 00:00:00 ,32.21848306
2001:01:29 03:00:00 ,32.21373453
2001:01:29 06:00:00 ,32.16357195
2001:01:29 09:00:00 ,32.27368306
2001:01:29 12:00:00 ,32.13886023
2001:01:29 15:00:00 ,32.37006632
2001:01:29 18:00:00 ,32.16713425
2001:01:29 21:00:00 ,32.16947751
2001:01:30 00:00:00 ,32.22009973
2001:01:30 03:00:00 ,32.2429709
2001:01:30 06:00:00 ,32.20270629
2001:01:30 09:00:00 ,32.17727976
2001:01:30 12:00:00 ,32.26050195
2001:01:30 15:00:00 ,32.15214604
2001:01:30 18:00:00 ,32.22756639
2001:01:30 21:00:00 ,32.2124608
2001:01:31 00:00:00 ,32.19183928
2001:01:31 03:00:00 ,32.24381195
2001:01:31 06:00:00 ,32.09517923
2001:01:31 09:00:00 ,32.28840806
2001:01:31 12:00:00 ,32.29205843
2001:01:31 15:00:00 ,32.17192047
2001:01:31 18:00:00 ,32.26144417
2001:01:31 21:00:00 ,32.40765808
2001:02:01 00:00:00 ,32.47339972
2001:02:01 03:00:00 ,32.54591168
2001:02:01 06:00:00 ,32.57249972
2001:02:01 09:00:00 ,32.49934983
2001:02:01 12:00:00 ,32.53013305
2001:02:01 15:00:00 ,32.56959972
2001:02:01 18:00:00 ,32.57393232
2001:02:01 21:00:00 ,32.49678861
